"CATSFX","GENUS","SPECIES","SUBSPECIES","AGE","SEX","DATE","COUNTRY","STATE","COUNTY","SPECLOC","COLLCATNUM"
14714,"Melospiza","melodia","rufina","AHY","M","29 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1907"
13912,"Melospiza","melodia","rufina","AD","M","27 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1868"
13911,"Melospiza","melodia","rufina","AD","M","27 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1867"
13937,"Melospiza","melodia","rufina","AD","M","28 Jun 2001","USA","Alaska","Alexander Archipe","Prince of Wales Island","UAMX1889"
11824,"Melospiza","melodia","rufina","AHY","M","10 Nov 1998","USA","Alaska","Alexander Archipe","Prince of Wales, Stoney Creek Bridge on 2050 rd","CLP542"
11517,"Melospiza","melodia","rufina","AD","M","99 Jun 1993","USA","Alaska","Alexander Archipe","Revillagigedo I, Ketchikan, Ward Lake","CLP540"
11516,"Melospiza","melodia","rufina","AD","M","03 Aug 2000","USA","Alaska","Alexander Archipe","Revillagigedo Island, Traitor's Creek","ABJ068"
13910,"Melospiza","melodia","rufina","AD","M","18 Jun 1999","Canada","British Columbia","Queen Charlotte I","53 30.9N  132 19.8W","RWD25341"
11552,"Melospiza","melodia","rufina","AHY","M","13 Jun 1999","Canada","British Columbia","Queen Charlotte I","Graham Island","TMB194"
13919,"Melospiza","melodia","rufina","AD","M","15 Jun 1999","Canada","British Columbia","Queen Charlotte I","Graham Island","RWD25323"
11550,"Melospiza","melodia","rufina","AHY","M","12 Jun 1998","Canada","British Columbia","Queen Charlotte I","Graham Island","KSW2349"
11179,"Melospiza","melodia","rufina","AHY","M","15 Jun 1999","Canada","British Columbia","Queen Charlotte I","Graham Island","UAMX1057"
11549,"Melospiza","melodia","rufina","AHY","M","10 Jun 1998","Canada","British Columbia","Queen Charlotte I","Graham Island","KSW2315"
11546,"Melospiza","melodia","rufina","AHY","M","14 Jun 1999","Canada","British Columbia","Queen Charlotte I","Graham Island","KSW3334"
11547,"Melospiza","melodia","rufina","AHY","M","10 Jun 1998","Canada","British Columbia","Queen Charlotte I","Graham Island","KSW2328"
13909,"Melospiza","melodia","rufina","AD","M","17 Jun 1999","Canada","British Columbia","Queen Charlotte I","Graham Island, 53 30.9N  132 19.8W","RWD25337"
13908,"Melospiza","melodia","rufina","AD","M","18 Jun 1999","Canada","British Columbia","Queen Charlotte I","Graham Island, 53 30.9N  132 19.8W","TMB235"
11548,"Melospiza","melodia","rufina","AHY","M","10 Jun 1998","Canada","British Columbia","Queen Charlotte I","Graham Island, Rennell Sound","KSW2322"
13080,"Melospiza","melodia","rufina","AHY","M","17 Jun 1999","Canada","British Columbia","Queen Charlotte I","Graham Island, Yakoun Lake Road","TMB225"
13079,"Melospiza","melodia","rufina","AHY","M","17 Jun 1999","Canada","British Columbia","Queen Charlotte I","Graham Island, Yakoun Lake Road","TMB227"
35795,"Melospiza","melodia","rufina","AHY","M","29 Apr 2014","USA","Alaska","Southeast","Prince of Wales I., south of Ratz Harbor","JJW2485"
14944,"Melospiza","melodia","rufina","AD","M","29 Jun 2001","USA","Alaska","Southeast","Prince of Wales Island","UAMX1913"
14942,"Melospiza","melodia","rufina","AD","M","29 Jun 2001","USA","Alaska","Southeast","Prince of Wales Island","UAMX1906"
14943,"Melospiza","melodia","rufina","AD","M","24 Jun 2001","USA","Alaska","Southeast","Prince of Wales Island","UAMX1904"
13920,"Melospiza","melodia","rufina","AD","M","17 Jun 1999","Canada","British Columbia","Queen Charlotte I","Yakoun Lake Road, 53 21.5N  132 17.2W","TMB226"
