"CATSFX","SUBSPECIES","AGE","SEX","MASS","WCH","TL","TS","BL","BLH","BLW","SKL"
31441,"maxima","AD","M",46.5,85.4,78.9,28.7,12.7,7.9,5.8,39.5
34547,"maxima","AD","M",43,85.4,80.5,28,13,7,5.5,39.8
21908,"maxima","AD","M",42.6,82.7,75.8,27.6,12,6.6,6.1,38.5
34544,"maxima","AHY","M",44,84.1,75.3,29,13,7.6,6,39.8
34545,"maxima","AHY","M",49.5,79.7,74.5,27.3,12.4,6.9,5.6,38.4
27880,"maxima","AD","M",45,80,70,26.8,11.6,7,5.6,38.8
27858,"maxima","AD","M",47,83,82,27.5,11.2,7,6,37.9
27882,"maxima","AD","M",45,78,75,28.3,11.9,7.3,5.9,38.7
27884,"maxima","AD","M",45.5,79,69,27.9,11.7,7.4,5.9,38.4
27883,"maxima","AD","M",42,82,70,27.5,11.7,7,5.8,38.5
11227,"maxima","AD","M",40.8,78.1,75.7,24.9,14.3,8,6.6,36.7
8612,"maxima","AHY","M",41.5,78.5,78.6,25.1,11.3,6.9,6.2,33
15299,"maxima","AHY","M",43.4,79.3,66.8,25.7,12.6,7.3,5.8,38.6
15358,"maxima","AHY","M",46,80,74,25.8,12.7,7.3,6,39.1
15304,"maxima","AHY","M",46.4,81.2,79.8,25.3,13.3,7.4,5.9,38.5
15343,"maxima","AD","M",43.7,81.3,79.2,28.3,13.4,6.9,5.9,39.9
15354,"maxima","AHY","M",46.4,82,79.2,28.9,12,7,5.8,39.7
14165,"maxima","AHY","M",48.5,82,76,33.5,13.3,8,5.8,39
9305,"maxima","AHY","M",49.3,83.1,83.2,26.1,12.3,7.4,7.6,30.9
15330,"maxima","AHY","M",45.9,83.2,81.7,27,12.6,7.4,6.3,37.3
15342,"maxima","AD","M",45.3,83.3,83.2,33.6,12.2,7.3,6.2,36.7
8462,"maxima","AHY","M",43.7,83.4,79.4,23.9,10.3,8,6.3,37.3
9302,"maxima","AHY","M",57.6,83.8,76.5,26.8,12.8,7.4,5,40
15378,"maxima","AHY","M",48,83.9,85,26.7,13,8.1,6.3,39.9
15356,"maxima","AHY","M",44,83,78,28,12.5,7.5,5.9,38.9
15331,"maxima","AHY","M",42.6,84,81.5,27.5,12.3,7.3,6.1,38.8
15302,"maxima","AHY","M",47,84.2,80.6,26.8,13,7.2,5.9,38.9
15313,"maxima","AHY","M",47.4,84,75,27.5,14.4,8.4,6.7,39.4
