CATSFX,GENUS,SPECIES,SUBSPECIES,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLCATNUM,MASS,WCH,TL,TS,BL,BLH,BLW,SKL
15321,Melospiza,melodia,maxima,AHY,M,22-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",CLP446,49,83.2,78.2,26.4,12.1,7.2,5.8,38.1
15298,Melospiza,melodia,maxima,AHY,M,21-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",CLP432,47,83.5,70.4,26.8,12.7,7.8,5.7,39.5
15305,Melospiza,melodia,maxima,AD,M,21-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",CLP434,46,83.5,82,30.8,12.7,7.6,5.4,38.3
15367,Melospiza,melodia,maxima,AD,M,27-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",CLP466,48.2,84,81.9,30,11.9,7.4,4.8,38.9
10165,Melospiza,melodia,maxima,AD,M,23-May-99,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",KSW3010,47.9,84.8,79.6,29.8,12.8,8.7,5.7,39
15339,Melospiza,melodia,maxima,AHY,M,27-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",CLP467,45.8,84.9,82.5,29.6,12.9,7.8,5.3,39.2
10041,Melospiza,melodia,maxima,AHY,M,21-May-99,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",KSW2986,47.9,85.1,82.8,29.3,12.8,7.9,7.8,39
10946,Melospiza,melodia,maxima,AHY,M,17-Jun-99,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",CLP108,48.3,85.9,80.7,29.6,13.3,7.1,5.6,40.3
13186,Melospiza,melodia,maxima,AD,M,22-May-99,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",KSW2997,48.7,86.5,88,29.2,12.1,7.8,5.7,38.6
15315,Melospiza,melodia,maxima,AHY,M,24-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",CLP452,51,86.8,77.1,26.6,13.2,7.4,6.4,39.9
15344,Melospiza,melodia,maxima,AHY,M,19-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",CLP410,49.8,87.6,79.3,30.6,12.8,7.4,5.8,39.6
10170,Melospiza,melodia,maxima,AHY,M,16-Jun-99,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island, Finger Bay",CLP097,47.2,85.6,77.3,28.4,13,7.4,5.7,39.6
11291,Melospiza,melodia,maxima,AD,M,17-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",KSW3377,48.2,81.9,78.8,27.1,11.9,7.1,6,38.5
11295,Melospiza,melodia,maxima,AD,M,17-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",KSW3373,47.6,82.3,77.8,26.3,12.3,7.2,5.5,38.6
11297,Melospiza,melodia,maxima,AD,M,18-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",KSW3386,45.5,85.6,81.2,26.6,12.2,7.4,5.8,39
11294,Melospiza,melodia,maxima,AD,M,18-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",KSW3385,50.1,86.1,79.2,28.2,12.9,7.4,6.1,40.1
11296,Melospiza,melodia,maxima,AD,M,18-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",KSW3387,48.4,86.3,83.6,28.1,12.2,7.3,6.1,39.1
11289,Melospiza,melodia,maxima,AD,M,18-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",KSW3384,48.6,87.5,87.3,27.9,13.1,7.8,6.3,39.7
13160,Melospiza,melodia,maxima,AHY,M,18-May-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",KSW3380,49.4,87,80.3,22.5,12.9,7.4,9.3,38.7
15323,Melospiza,melodia,maxima,AHY,M,1-Sep-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Igitkin Island",DAR029,41.9,77.6,74.3,24.5,11.5,7.5,6.2,36.8
8779,Melospiza,melodia,maxima,AHY,M,6-Jun-98,USA,Alaska,Aleutian Islands,"Andreanof Islands, Kanaga Island, Kanaga Bay",UAMX721,49.5,85.2,79.4,24.9,12.5,7.4,7.5,39.1
15318,Melospiza,melodia,maxima,AHY,M,3-Sep-00,USA,Alaska,Aleutian Islands,"Andreanof Islands, Tanaga Island",DAR036,46.8,79.8,71.6,21.3,11.4,7.1,6.4,32.7
27848,Melospiza,melodia,maxima,AD,M,22-May-10,USA,Alaska,Aleutian Islands,"Attu I., Alexai Point, east tip",JJW770,40,84,83,26.8,13.3,7.4,6.5,40.4
36621,Melospiza,melodia,maxima,AHY,M,17-May-02,USA,Alaska,Aleutian Islands,"Attu I., Casco Cove, 52o47'0""N 173o9'27""E",KSW3964,43.2,82.1,77.4,27.7,12.3,7.4,6.1,39.6
36623,Melospiza,melodia,maxima,AHY,M,15-May-02,USA,Alaska,Aleutian Islands,"Attu I., Gilbert Ridge",KSW3958,45.7,83.6,78.5,27.7,11.7,7.5,5.8,38.2
36618,Melospiza,melodia,maxima,AHY,M,9-May-04,USA,Alaska,Aleutian Islands,"Attu I., Gilbert Ridge, 52o50'12.6""N 173o16'9.9""E",KGM842,46,85.2,83.6,29.5,12.8,7.8,5.9,40
36622,Melospiza,melodia,maxima,AHY,M,20-May-02,USA,Alaska,Aleutian Islands,"Attu I., Gilbert Ridge, 52o50'5""N 173o16'12""E",KSW3979,47.3,82.2,77,28.8,12.4,7.6,6,39.7
27852,Melospiza,melodia,maxima,AD,M,25-May-09,USA,Alaska,Aleutian Islands,"Attu i., Murder Point",JJW218,50,81,81,28.1,12.6,7.4,5.9,40.7
38590,Melospiza,melodia,maxima,AHY,M,6-May-04,USA,Alaska,Aleutian Islands,"Attu I., S side Murder Pen., 52.7979oN 173.1624oE",KGM833,44.5,84.1,82.7,27.6,12.9,7.2,5.6,38.7
15116,Melospiza,melodia,maxima,AHY,M,17-May-02,USA,Alaska,Aleutian Islands,Attu Island,KSW3965,44,81,75.2,25.5,12.8,7.4,6,39.6
36620,Melospiza,melodia,maxima,AHY,M,3-May-01,USA,Alaska,Aleutian Islands,Attu Island,DAR155,46,82.2,77.2,28,12.2,7.3,5.8,39.3
34715,Melospiza,melodia,maxima,AD,M,2-Jun-02,USA,Alaska,Aleutian Islands,Attu Island,RWD26019,46,82.4,78.5,29.5,12.9,7,6.4,40
31442,Melospiza,melodia,maxima,AD,M,3-May-01,USA,Alaska,Aleutian Islands,Attu Island,DAR158,44,82.9,78.5,28.2,12.5,7.3,5.4,38.9
15117,Melospiza,melodia,maxima,AHY,M,17-May-02,USA,Alaska,Aleutian Islands,Attu Island,KSW3963,43.9,83.3,80.1,26.2,12.6,7.3,5.9,38.7
15115,Melospiza,melodia,maxima,AHY,M,16-May-02,USA,Alaska,Aleutian Islands,Attu Island,KSW3959,45.4,83.6,82.4,26.2,13.3,7.9,6,39.9
11173,Melospiza,melodia,maxima,AHY,M,24-Aug-99,USA,Alaska,Aleutian Islands,Attu Island,CLP310,45.5,84.4,82.2,26.8,12.1,8,5.7,39.6
11174,Melospiza,melodia,maxima,AHY,M,9-Sep-99,USA,Alaska,Aleutian Islands,Attu Island,CLP366,48,84.5,83.5,27.1,12.9,7.6,5.5,40.2
41447,Melospiza,melodia,maxima,AD,M,24-May-01,USA,Alaska,Aleutian Islands,Attu Island,UAMX1663,44,84.8,74.1,28.6,12.5,7.7,5.2,39.6
11270,Melospiza,melodia,maxima,AHY,M,28-Aug-99,USA,Alaska,Aleutian Islands,Attu Island,CLP338,46.1,85.1,76.1,26.5,12.6,7.5,6,39.5
31441,Melospiza,melodia,maxima,AD,M,24-May-00,USA,Alaska,Aleutian Islands,Attu Island,CLP453,46.5,85.4,78.9,28.7,12.7,7.9,5.8,39.5
34547,Melospiza,melodia,maxima,AD,M,28-May-01,USA,Alaska,Aleutian Islands,Attu Island,UAMX1699,43,85.4,80.5,28,13,7,5.5,39.8
21908,Melospiza,melodia,maxima,AD,M,16-May-04,USA,Alaska,Aleutian Islands,"Attu Island, 52o51'22.0"",173o13'55.5""E,",KGM860,42.6,82.7,75.8,27.6,12,6.6,6.1,38.5
34544,Melospiza,melodia,maxima,AHY,M,15-May-02,USA,Alaska,Aleutian Islands,"Attu Island, Casco Point",KSW3957,44,84.1,75.3,29,13,7.6,6,39.8
34545,Melospiza,melodia,maxima,AHY,M,12-May-02,USA,Alaska,Aleutian Islands,"Attu Island, Gilbert Ridge",KSW3942,49.5,79.7,74.5,27.3,12.4,6.9,5.6,38.4
27880,Melospiza,melodia,maxima,AD,M,5-Jun-09,USA,Alaska,Aleutian Islands,"Kiska I., Kiska Harbor, bluffs S of sub base",JJW282,45,80,70,26.8,11.6,7,5.6,38.8
27858,Melospiza,melodia,maxima,AD,M,5-Jun-09,USA,Alaska,Aleutian Islands,"Kiska I., Kiska Harbor, bluffs S of sub base",JJW279,47,83,82,27.5,11.2,7,6,37.9
27882,Melospiza,melodia,maxima,AD,M,5-Jun-09,USA,Alaska,Aleutian Islands,"Kiska I., Kiska Harbor, N side of N. Head",JJW283,45,78,75,28.3,11.9,7.3,5.9,38.7
