CATSFX,GENUS,SPECIES,SUBSPECIES,HYBRIDTYPE,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLECTOR,CFIRSTNAME,COLLCATNUM,PREPARATOR,PFIRSTNAME,MASS,BODYCOND,REMARKS,DISPOS,AVAIL,SKINMEAS,EDWARDS,LATDEG,LATMIN,LONDEG,LONMIN
11273,Melospiza,melodia,caurina,,HY,F,19 Jul 2000,USA,Alaska,Copper River Delt,Alaganik Slough,Pruett,Christin L,CLP520,Pruett,Christin L,23.3,fat:very light;ov:oviduct seen;sk:unoss.;molt:heavy body molt;stom:insects,hab:slough,1220,,wch:65.8;tl:67.3;ts:22.6;bl:8.8;blh:6.1;blw:4.5;skl:32.4,Z65c050,,,,
11248,Melospiza,melodia,caurina,,JUV,M,19 Jul 2000,USA,Alaska,Copper River Delt,Alaganik Slough,Pruett,Christin L,CLP524,Johnson,Andrew B,,TE:0.5X0.5; FAT:Light; SK:Unossified; MOLT:None,,1030,,,Z65c050,,,,
11210,Melospiza,melodia,caurina,,JUV,M,19 Jul 2000,USA,Alaska,Copper River Delt,Alaganik Slough,Pruett,Christin L,CLP519,Johnson,Andrew B,29.0,"TE:1.6X1.0; FAT:Light; SK:Unossified; MOLT:Wing, tail, body",short-tailed fledgling.,1030,,,Z65c050,,,,
11361,Melospiza,melodia,caurina,,AHY,M,13 May 1999,USA,Alaska,Copper River Delt,Alaganik Slough Rd,Pruett,Christin L,CLP022,Pruett,Christin L,31.0,fat:very light;te:l:8.4x6.0;sk:100%oss.;molt:none;stom:insects,hab:boggy thicket; singing,1230,,wch:74.9;tl:66.1;ts:23.3;bl:10.7;blh:6.7;blw:5.5;skl:37.0,Z65c050,,,,
11388,Melospiza,melodia,caurina,,AHY,F,12 May 1999,USA,Alaska,Copper River Delt,Copper River Delta,Spellman,Garth M,CLP017,Pruett,Christin L,28.6,"fat:light;ov:4.5x5.7, largest follicle<0.5;sk:100%oss.;molt:none;stom:insects",hab:boggy thicket; singing?,1230,,wch:68.9;tl:66.5;ts:22.0;bl:10.4;blh:6.1;blw:5.7;skl:34.1,Z65c050,,,,
11367,Melospiza,melodia,caurina,,AHY,F,12 May 1999,USA,Alaska,Copper River Delt,Copper River Delta,Spellman,Garth M,CLP015,Pruett,Christin L,25.7,"fat:light;ov:6.3x8.1,largest follicle=3.0;sk:100%oss.;molt:none;stom:insects",hab:boggy thicket;partial incubation patch,1230,,wch:69.9;tl:60.3;ts:21.8;bl:10.3;blh:6.0;blw:4.9;skl:35.1,Z65c050,,,,
11382,Melospiza,melodia,caurina,,AHY,M,11 May 1999,USA,Alaska,Copper River Delt,Copper River Delta,Spellman,Garth M,CLP008,Pruett,Christin L,30.0,"fat:moderate;te:l:8.8x5.8, shot damaged;sk:100%oss.;molt:none;stom:insects",Hab:boggy thicket;remarks:shot very hard,1230,,wch:70.9;tl:69.4;ts:24.4;bl:10.5;blh:5.5;blw:5.2;skl:30.3,Z65c050,,,,
11384,Melospiza,melodia,caurina,,AHY,M,12 May 1999,USA,Alaska,Copper River Delt,Copper River Delta,Pruett,Christin L,CLP020,Pruett,Christin L,26.8,fat:none;te:l:7.6x5.4;sk:100%oss.;molt:none;stom:insects and seeds,hab:boggy thicket;remarks:singing,1230,,wch:71.0;tl:64.5;ts:24.6;bl:9.5;blh:6.0;blw:4.8;skl:34.6,Z65c050,,,,
11383,Melospiza,melodia,caurina,,AHY,M,12 May 1999,USA,Alaska,Copper River Delt,Copper River Delta,Spellman,Garth M,CLP018,Pruett,Christin L,25.1,fat:trace;te:l:7.8x5.5;sk:100%oss.;molt:none;stom:insects,hab:boggy thicket; remarks:singing,1230,,wch:74.2;tl:66.4;ts:23.6;bl:10.7;blh:6.4;blw:4.8;skl:35.4,Z65c050,,,,
11332,Melospiza,melodia,caurina,,HY,F,19 Jul 2000,USA,Alaska,Copper River Delt,Copper River Rd,Pruett,Christin L,CLP523,Pruett,Christin L,25.3,"fat:none;ov:amorphous;sk:unoss.;molt:total body, primaries, rectrices;stom:insects",hab:slough,1220,,wch:65.9;tl:49.6;ts:23.3;bl:8.1;blh:6.2;blw:5.1;skl:32.1,Z65c050,,,,
