CATSFX,GENUS,SPECIES,SUBSPECIES,HYBRIDTYPE,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLECTOR,CFIRSTNAME,COLLCATNUM,PREPARATOR,PFIRSTNAME,MASS,BODYCOND,REMARKS,DISPOS,AVAIL,SKINMEAS,EDWARDS,LATDEG,LATMIN,LONDEG,LONMIN
10942,Melospiza,melodia,maxima,,AHY,M,16 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Spellman,Garth M,CLP092,Pruett,Christin L,48.0,TE:L=11.7X8.6; FAT:Light; SK:100% ossified; MOLT:None; STOM: Invertebrates.,HAB:Streamside heath.  Skin/skel/tiss2/stom.,1230,,WCH:78.7; TL:75.2; TS:26.8; BL:12.8; BLH:7.5; BLW:6.2; SKL:39.8,Z65c050,,,,
11554,Melospiza,melodia,maxima,,AD,F,24 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW3016,Boucher,Timothy M,46.9,"OV:7.8X5.9, granular; FAT:Moderate; SK:Ossified; MOLT:None; STOM: Insects",,1230,,WCH:78.8; TL:80.7; TS:27.4; BL:12.1; BLH:7.5; BLW:4.9; SKL:38.4,Z65c050,,,,
10178,Melospiza,melodia,maxima,,AD,F,23 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW3008,Braile,Thomas M,,OV:Identified; FAT:Trace; MOLT:None.,Carrying food. Pair with KSW3009.,1230,,WCH:79.0; TL:73.2; TS:27.3; BL:12.4; BLH:7.2; BLW:4.8; SKL:36.0,Z65c050,,,,
15306,Melospiza,melodia,maxima,,AD,F,24 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP455,Topp,Carrie,43.3,"OV:10X6, granular; FAT:Moderate; SK:100% ossified; MOLT:None",Skin/skel/tiss2/stom/guts,1230,,WCH:79.1; TL:72.8; TS:29.6; BL:12.7; BLH:7.7; BLW:6.5; SKL:42.1,Z65c050,,,,
11288,Melospiza,melodia,maxima,,AD,F,21 May 1998,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Gibson,Daniel D,UAMX1228,Rocque,Deborah A,43.5,OV:9.6X7.4; FAT:Very fat; SK:100% ossified; MOLT:None,Coll DDG1614.,1230,,WCH:79.7; TL:79.1; TS:27.9; BL:12.4; BLH:7.0; BLW:5.7; SKL:36.5,Z65c050,,,,
10166,Melospiza,melodia,maxima,,AD,F,24 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW3015,Petersen,Julie,44.0,OV:13.0X10.2; FAT:None; MOLT:Brood patch,,1220,,WCH:79.9; TL:78.9; TS:28.2; BL:7.4; BLH:6.7; BLW:5.8; SKL:39.1,Z65c050,,,,
15308,Melospiza,melodia,maxima,,AHY,F,19 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP412,Miller,Matthew J,44,OV:4X4; FAT:None; SK:100% ossified,Skin/skel/tiss2/stom/guts,1230,,WCH:79; TL:73; TS:28.4; BL:12.4; BLH:6.2; BLW:6.8; SKL:38.8,Z65c050,,,,
10172,Melospiza,melodia,maxima,,AHY,F,21 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Spellman,Garth M,CLP124,Pruett,Christin L,52.1,"OV:15.8X14.2, ova to 10.5; FAT:Light; MOLT:None; SK:100% ossified; STOM:Invertebrates",HAB:Rocky seaside cliffs.  Incubation patch.,1230,,WCH:80.1; TL:78.5; TS:26.9; BL:12.6; BLH:7.3; BLW:5.9; SKL:39.0,Z65c050,,,,
10947,Melospiza,melodia,maxima,,AHY,F,15 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Spellman,Garth M,CLP068,Pruett,Christin L,47.0,"OV:12.4X6.7, largest follicle 2.8; FAT:Light; SK:100% ossified; MOLT:None; STOM:Invertebrates.",Incubation patch.  HAB:lagoon shoreline.  Skin/skel/tiss2/stom.,1230,,WCH:80.4; TL:74.4; TS:26.6; BL:23.0; BLH:7.4; BLW:6.7; SKL:39.9,Z65c050,,,,
11048,Melospiza,melodia,maxima,,AD,M,22 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW2992,Rocque,Deborah A,46.5,"TE:L=12.1X8.7, R=9.7X7.5; FAT:Little; MOLT:None; SK:100% ossified",Skin/skel/tiss2/stom,1230,,WCH:80.5; TL:82.5; TS:27.0; BL:13.0; BLH:12.4; BLW:6.6; SKL:32.3,Z65c050,,,,
13059,Melospiza,melodia,maxima,,AHY,M,21 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP123,Stalker,Corey L,49.7,TE:10.1X9.7; FAT:Moderate; MOLT:None,Rocky seaside cliff.  Skin/skel/tiss2/stom/guts,1230,,WCH:80.7; TL:73.5; TS:27.9; BL:13.2; BLH:7.3; BLW:6.2; SKL:39.8,Z65c050,,,,
15359,Melospiza,melodia,maxima,,AHY,F,27 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP465,Pruett,Christin L,44.2,"OV:9.5X9.0, ova to 2.8, incubation patch; FAT:Light; SK:100% ossified; MOLT:None",Skin/skel/tiss2/stom/guts,1230,,WCH:80.7; TL:77.1; TS:30.4; BL:11.9; BLH:7.3; BLW:5.8; SKL:38.4,Z65c050,,,,
10040,Melospiza,melodia,maxima,,AHY,M,21 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW2984,Pruett,Christin L,48.7,TE:L=12.9X7.4; FAT:Light; SK:100% ossified; MOLT:None; STOM: Invertebrates.,Cloacal protuberance; HAB:Shoreline.,1230,,WCH:80.7; TL:77.8; TS:28.7; BL:11.2; BLH:7.6; BLW:6.8; SKL:38.6,Z65c050,,,,
15366,Melospiza,melodia,maxima,,AHY,M,22 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP440,Gibson,Daniel D,45.4,TE:swollen; FAT & MOLT:None; SK:Ossified,Skin/skel/tiss2/stom/guts,1230,,WCH:81.0; TL:--; TS:28.8; BL:13.0; BLH:7.7; BLW:5.4; SKL:39.2,Z65c050,,,,
15326,Melospiza,melodia,maxima,,AHY,M,21 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Rocque,Deborah A,CLP431,Moncrief,Heather H.,46.3,TE:L=11X7; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:81.0; TL:77.8; TS:25.6; BL:12.4; BLH:8.1; BLW:6.1; SKL:39.7,Z65c050,,,,
11511,Melospiza,melodia,maxima,,AD,M,22 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW2991,Pruett,Christin L,46.8,TE:L=12.8X9.1; FAT:Very light; MOLT:None; SK:100% ossified.,Shoreline. Skin/skel/tiss2/stom/guts.,1230,,WCH:81.1; TL:71.3; TS:28.5; BL:11.7; BLH:7.4; BLW:5.3; SKL:38.6,Z65c050,,,,
15341,Melospiza,melodia,maxima,,AD,M,24 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP454,Topp,Carrie,49.6,LT=13X10.1; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:81.3; TL:--; TS:29.1; BL:13.4; BLH:7.6; BLW:6.4; SKL:40.6,Z65c050,,,,
13057,Melospiza,melodia,maxima,,AD,F,16 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Spellman,Garth M,CLP094,,,,OV:varied-sized ova; FAT:Moderate; SK:Fully ossified; MOLT:None,Bayside heath. Skin/skel/tiss2/stom/guts,1230,,WCH:81.5; TL:80; TS:26.1; BL:13.2; BLH:6.7; BLW:5.8; SKL:36.5,Z65c050,,,,
15340,Melospiza,melodia,maxima,,AHY,M,26 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Rocque,Deborah A,CLP461,Pruett,Christin L,47.3,TE:L=13.1X8.0; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:81.7; TL:75.3; TS:28.0; BL:13.1; BLH:7.7; BLW:5.9; SKL:40.0,Z65c050,,,,
15309,Melospiza,melodia,maxima,,AHY,F,22 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP445,Miller,Matthew J,48.5,"OV:10X10, (ova to) 7.5; FAT:Moderate; SK:100% ossified; MOLT:Light",Skin/skel/tiss2/stom/guts,1230,,WCH:81; TL:74; TS:21.7; BL:13.3; BLH:7.2; BLW:5.2; SKL:37.5,Z65c050,,,,
15312,Melospiza,melodia,maxima,,AHY,M,22 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,,Miller,Matthew J,44,TE:11X8; FAT and MOLT:None; SK:100% (ossified).,Skin/skel/tiss2/stom/guts,1230,,WCH:81; TL:76; TS:26.9; BL:15.0; BLH:7.4; BLW:6.4; SKL:36.8,Z65c050,,,,
15314,Melospiza,melodia,maxima,,HY,F,26 Aug 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Rocque,Deborah A,DAR015,Miller,Matthew J,43.5,OV:Wispy; FAT:None; MOLT:Light; SK:10% (ossified),Skin/skel/tiss2/stom/guts,1230,,WCH:81; TL:79; TS:29.1; BL:10.9; BLH:7.1; BLW:6.4; SKL:36.1,Z65c050,,,,
15307,Melospiza,melodia,maxima,,AD,M,21 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP430,Topp,Carrie,45.1,TE:R=12.3X9; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:82.0; TL:85.0; TS:27.5; BL:12.7; BLH:7.8; BLW:4.6; SKL:36.2,Z65c050,,,,
10179,Melospiza,melodia,maxima,,AD,M,24 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW3014,Braile,Thomas M,45.1,TE:Identified; FAT:Trace; MOLT:None,,1220,,WCH:82.4; TL:80.2; TS:28.2; BL:13.9; BLH:7.7; BLW:6.5; SKL:36.5,Z65c050,,,,
11229,Melospiza,melodia,maxima,,AD,M,15 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Spellman,Garth M,CLP069,Braile,Thomas M,42.1,"TE:L=11X8, R=10X8; FAT:Light; SK:Ossified; MOLT:None",Skin/skel/tiss2/stom/guts,1230,,WCH:82.5; TL:78.7; TS:27.5; BL:13.1; BLH:7.3; BLW:6.0; SKL:38.0,Z65c050,,,,
15353,Melospiza,melodia,maxima,,AHY,M,25 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP457,Johnson,Andrew B,48.2,TE:16X8; FAT:Moderate; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:82.7; TL:77.4; TS:26.5; BL:7.8; BLH:7.3; BLW:5.3; SKL:39.8,Z65c050,,,,
14611,Melospiza,melodia,maxima,,AHY,M,18 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP114,Bacon,Joshua J,48,TE:L=15X9; FAT:Light; SK:fully ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:82.8; TL:80.7; TS:28.3; BL:12.4; BLH:7.8; BLW:5.0; SKL:39.1,Z65c050,,,,
15321,Melospiza,melodia,maxima,,AHY,M,22 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Rocque,Deborah A,CLP446,Braile,Thomas M,49,"TE:L=11.8X7.4;, R=11.7X7.3; FAT:Light; SK:100%; MOLT:None",Skin/skel/tiss2/stom/guts,1230,,WCH:83.2; TL:78.2; TS:26.4; BL:12.1; BLH:7.2; BLW:5.8; SKL:38.1,Z65c050,,,,
15298,Melospiza,melodia,maxima,,AHY,M,21 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,CLP432,Moncrief,Heather H.,47.0,TE:L=10X6.5; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:83.5; TL:70.4; TS:26.8; BL:12.7; BLH:7.8; BLW:5.7; SKL:39.5,Z65c050,,,,
15305,Melospiza,melodia,maxima,,AD,M,21 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,CLP434,Topp,Carrie,46.0,TE:L=12.7X7.8; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:83.5; TL:82.0; TS:30.8; BL:12.7; BLH:7.6; BLW:5.4; SKL:38.3,Z65c050,,,,
15367,Melospiza,melodia,maxima,,AD,M,27 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Rocque,Deborah A,CLP466,Gibson,Daniel D,48.2,LT=13.8X9.0; FAT & MOLT:None; SK:Ossified,Skin/skel/tiss2/stom/guts,1230,,WCH:84.0; TL:81.9; TS:30.0; BL:11.9; BLH:7.4; BLW:4.8; SKL:38.9,Z65c050,,,,
10165,Melospiza,melodia,maxima,,AD,M,23 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW3010,Pruett,Christin L,47.9,"TE:L=14.3X9.3, R=13.0X9.8; FAT:Light; MOLT:None; SK:100% ossified; STOM:Invertebrates",Cloacal protuberance.  Carrying food.  HAB:Clam Lagoon shoreline.,1230,,WCH:84.8; TL:79.6; TS:29.8; BL:12.8; BLH:8.7; BLW:5.7; SKL:39.0,Z65c050,,,,
15339,Melospiza,melodia,maxima,,AHY,M,27 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Rocque,Deborah A,CLP467,Pruett,Christin L,45.8,TE:L=8.4X2.8; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:84.9; TL:82.5; TS:29.6; BL:12.9; BLH:7.8; BLW:5.3; SKL:39.2,Z65c050,,,,
15310,Melospiza,melodia,maxima,,AHY,U,25 Aug 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Rocque,Deborah A,DAR012,Miller,Matthew J,45.7,Gonads not identified; FAT:None; MOLT:Heavy; SK:100% ossified,Skin/skel/tiss2/stom,1230,,WCH:84; TL:73; TS:26.0; BL:12.5; BLH:7.7; BLW:5.0; SKL:37.4,Z65c050,,,,
10041,Melospiza,melodia,maxima,,AHY,M,21 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW2986,Pruett,Christin L,47.9,"TE:L=13.8X8.7, R=11.9X11.5; FAT:Light; SK:100% ossified; MOLT: None; STOM:Invertebrates.",Cloacal protuberance; HAB:Shoreline.,1230,,WCH:85.1; TL:82.8; TS:29.3; BL:12.8; BLH:7.9; BLW:7.8; SKL:39.0,Z65c050,,,,
15349,Melospiza,melodia,maxima,,U,U,25 Aug 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Rocque,Deborah A,DAR016,Johnson,Andrew B,47.5,Gonads not identified; FAT:Light; MOLT:General,Skin/skel/tiss2/stom/guts,1230,,WCH:85.3; TL:74.9; TS:26.9; BL:12.0; BLH:6.9; BLW:6.4; SKL:38.2,Z65c050,,,,
15369,Melospiza,melodia,maxima,,AD,M,19 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP411,Gibson,Daniel D,46.1,LT=12.4X8.7; FAT:Trace; SK:Ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:85.5; TL:82.2; TS:--; BL:12.5; BLH:7.2; BLW:5.5; SKL:38.8,Z65c050,,,,
10946,Melospiza,melodia,maxima,,AHY,M,17 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Spellman,Garth M,CLP108,Pruett,Christin L,48.3,"TE:L=12.8X10.9, R=13.4X9.1 (olive-colored); FAT:Light; STOM: Maggots.",HAB:Lagoon-side grass. Skin/skel/tiss2/stom/cloacal swab.,1230,,WCH:85.9; TL:80.7; TS:29.6; BL:13.3; BLH:7.1; BLW:5.6; SKL:40.3,Z65c050,,,,
13186,Melospiza,melodia,maxima,,AD,M,22 May 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Winker,Kevin S,KSW2997,Maley,James M,48.7,TE:L=13.1X11.2; FAT:Light; MOLT:None; SK:100% ossified.,"Steep, rocky shoreline at Finger Bay. Singing, likely mate of KSW 2998.  Skin/skel/tiss2/stom/guts.",1230,,WCH:86.5; TL:88.0; TS:29.2; BL:12.1; BLH:7.8; BLW:5.7; SKL:38.6,Z65c050,,,,
15315,Melospiza,melodia,maxima,,AHY,M,24 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP452,Braile,Thomas M,51,"TE:L=12.7X8.9, R=12.1X8.1; FAT:Trace; SK:100%; MOLT:None",Skin/skel/tiss2/stom/guts/swab,1230,,WCH:86.8; TL:77.1; TS:26.6; BL:13.2; BLH:7.4; BLW:6.4; SKL:39.9,Z65c050,,,,
13161,Melospiza,melodia,maxima,,HY,F,16 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Spellman,Garth M,CLP096,Tortorella,Mike L,43.4,OV:Identified; FAT:Light; MOLT:General,Skin/skel/tiss2/stom/guts.,1230,,WCH:86; TL:70.6; TS:28.6; BL:10.0; BLH:6.8; BLW:5.1; SKL:36.7,Z65c050,,,,
15344,Melospiza,melodia,maxima,,AHY,M,19 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island",Pruett,Christin L,CLP410,Johnson,Andrew B,49.8,"LT=14.4X5.5, cloacal protuberance; FAT:Light; SK:100% ossified; MOLT:None",Skin/skel/tiss2/stom/guts,1230,,WCH:87.6; TL:79.3; TS:30.6; BL:12.8; BLH:7.4; BLW:5.8; SKL:39.6,Z65c050,,,,
10169,Melospiza,melodia,maxima,,HY,F,16 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island, Finger Bay",Pruett,Christin L,CLP095,Spellman,Garth M,41.4,OV:Identified; FAT:Light body; SK:Unossified; MOLT:None; STOM: Small crustaceans,,1230,,WCH:80.8; TL:70.2; TS:21.1; BL:10.0; BLH:6.9; BLW:5.8; SKL:36.0,Z65c050,,,,
10170,Melospiza,melodia,maxima,,AHY,M,16 Jun 1999,USA,Alaska,Aleutian Islands,"Andreanof Islands, Adak Island, Finger Bay",Pruett,Christin L,CLP097,Spellman,Garth M,47.2,"TE:L=12.8X8.2, R=11.7X9.8; FAT:Light body; MOLT:None; SK:100% ossified; STOM:Stones and vegetation",,1230,,WCH:85.6; TL:77.3; TS:28.4; BL:13.0; BLH:7.4; BLW:5.7; SKL:39.6,Z65c050,,,,
11293,Melospiza,melodia,maxima,,AD,F,17 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3375,Winker,Kevin S,48.2,"OV:10.5X6.5, largest ova ca. 1; FAT:Light; MOLT:None; SK:Oss?",Rocky shoreline of bay. Skin/skel/tiss2/stom/guts. Ident to spp by KSW 2000.,1230,,WCH:78.3; TL:75.7; TS:25.0; BL:11.8; BLH:7.4; BLW:5.5; SKL:37.9,Z65c050,,,,
11299,Melospiza,melodia,maxima,,AD,F,18 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3381,Winker,Kevin S,50.2,"OV:10.5X7.0, largest ova 1.5, four or more post-ovulatory follicles, edematous incubation patch; FAT:Light; MOLT:None; SK:Ossified",Stony beach shoreline. Skin/skel/tiss2/stom/guts. Ident to ssp by KSW 2000.,1230,,WCH:79.5; TL:79.1; TS:26.8; BL:12.1; BLH:7.4; BLW:6.4; SKL:38.8,Z65c050,,,,
15333,Melospiza,melodia,maxima,,HY,F,09 Sep 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Rocque,Deborah A,DAR062,Winker,Kevin S,,"OV:ca 5X3, wispy; FAT: Very light; MOLT:None; SK:ca 80% unoss.",Skin/skel/tiss2/stom/guts,1230,,WCH:80.2; TL:76.1; TS:25.5; BL:11.5; BLH:7.3; BLW:6.1; SKL:37.8,Z65c050,,,,
14659,Melospiza,melodia,maxima,,AHY,F,18 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3382,Rocque,Deborah A,48.9,"OV:8X8, ova to 6X1.3; FAT:Heavy; SK:100% ossified; MOLT:None",Skin/skel/tiss2/stom/guts. Incubation patch.,1230,,WCH:80.8; TL:76.9; TS:22.3; BL:12.2; BLH:7.4; BLW:6.0; SKL:38.4,Z65c050,,,,
11290,Melospiza,melodia,maxima,,AD,F,17 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3376,Winker,Kevin S,48.2,"OV:laying condition--oviduct greatly distended, ova to 8.3, 4.0mm; FAT:Very light; MOLT:Very light body; SK:Ossified",Rocky shoreline of bay. Ident to ssp by KSW 2000. Skin/skel/ tiss2/stom/guts.,1230,,WCH:81.1; TL:74.5; TS:26.2; BL:7.3; BLH:7.2; BLW:5.8; SKL:38.7,Z65c050,,,,
11291,Melospiza,melodia,maxima,,AD,M,17 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3377,Winker,Kevin S,48.2,TE:L=12.1X7.6; FAT:Very light; MOLT:None; SK:Blasted,Rocky shoreline of bay. Ident to ssp by KSW 2000. Skin/skel/ tiss2/stom/guts.,1230,,WCH:81.9; TL:78.8; TS:27.1; BL:11.9; BLH:7.1; BLW:6.0; SKL:38.5,Z65c050,,,,
11292,Melospiza,melodia,maxima,,AD,M,17 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3374,Winker,Kevin S,48.9,TE:L=11.7X7.2; FAT & MOLT:None; SK:incompletely pneumatized-- ossified?,Rocky shoreline of bay. Skin/skel/tiss2/stom/guts. Ident to ssp by KSW 2000.,1230,,WCH:82.2; TL:79.0; TS:26.2; BL:tipped; BLH:7.9; BLW:6.2; SKL:--,Z65c050,,,,
11295,Melospiza,melodia,maxima,,AD,M,17 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3373,Winker,Kevin S,47.6,TE:L=8.7X6.4; FAT:Very light; MOLT:None; SK:Ossified,Rocky shoreline of bay. Skin/skel/tiss2/stom/guts. Ident to ssp by KSW 2000.,1230,,WCH:82.3; TL:77.8; TS:26.3; BL:12.3; BLH:7.2; BLW:5.5; SKL:38.6,Z65c050,,,,
11298,Melospiza,melodia,maxima,,AD,F,18 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3383,Winker,Kevin S,48.7,"OV:8.1X5.0, ova <1, fouir or more post-ovulatory follicles, edematous incubation patch; FAT:Light; MOLT:None; SK:Ossified",Grassy and rocky bay shoreline. Skin/skel/tiss2/stom/guts. Ident to ssp by KSW 2000.,1230,,WCH:82.7; TL:80.9; TS:26.2; BL:12.9; BLH:7.3; BLW:6.1; SKL:39.3,Z65c050,,,,
11297,Melospiza,melodia,maxima,,AD,M,18 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3386,Winker,Kevin S,45.5,TE:L=11.9X8.2; FAT & MOLT:None; SK:ossified,Grassy and rocky bay shoreline. Skin/skel/tiss2/stom/guts. Ident to ssp by KSW 2000.,1230,,WCH:85.6; TL:81.2; TS:26.6; BL:12.2; BLH:7.4; BLW:5.8; SKL:39.0,Z65c050,,,,
11294,Melospiza,melodia,maxima,,AD,M,18 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3385,Winker,Kevin S,50.1,TE:L=12.3X8.9; FAT & MOLT:None; SK:?,Grassy and rocky bay shoreline. Skin/skel/tiss2/stom/guts. Ident to ssp by KSW 2000.,1230,,WCH:86.1; TL:79.2; TS:28.2; BL:12.9; BLH:7.4; BLW:6.1; SKL:40.1,Z65c050,,,,
11296,Melospiza,melodia,maxima,,AD,M,18 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3387,Winker,Kevin S,48.4,TE:L=11.4X7.2; FAT & MOLT:None; SK:Ossified,Grassy and rocky bay shoreline. Skin/skel/tiss2/stom/guts. Ident to ssp by KSW 2000.,1230,,WCH:86.3; TL:83.6; TS:28.1; BL:12.2; BLH:7.3; BLW:6.1; SKL:39.1,Z65c050,,,,
11289,Melospiza,melodia,maxima,,AD,M,18 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3384,Winker,Kevin S,48.6,TE:L=12.1X8.1; FAT & MOLT:None; SK:?,Grassy and rocky bay shoeline. Ident to ssp by KSW 2000. Skin/skel/tiss2/stom/guts.,1230,,WCH:87.5; TL:87.3; TS:27.9; BL:13.1; BLH:7.8; BLW:6.3; SKL:39.7,Z65c050,,,,
13160,Melospiza,melodia,maxima,,AHY,M,18 May 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Amlia Island",Winker,Kevin S,KSW3380,Stalker,Corey L,49.4,TE:12.9X8.4; FAT:Light; SK:100% ossified,Skin/skel/tiss2/stom/guts,1230,,WCH:87; TL:80.3; TS:22.5; BL:12.9; BLH:7.4; BLW:9.3; SKL:38.7,Z65c050,,,,
15323,Melospiza,melodia,maxima,,AHY,M,01 Sep 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Igitkin Island",Rocque,Deborah A,DAR029,Moncrief,Heather H.,41.9,TE:L=1X1; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:77.6; TL:74.3; TS:24.5; BL:11.5; BLH:7.5; BLW:6.2; SKL:36.8,Z65c050,,,,
15364,Melospiza,melodia,maxima,,HY,F,01 Sep 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Igitkin Island",Rocque,Deborah A,DAR030,Pruett,Christin L,,OV:amorphous; FAT:Light; SK:5% ossified; MOLT:Light body,Skin/skel/tiss2/stom/guts,1230,,WCH:79.9; TL:83.0; TS:28.7; BL:12.0; BLH:7.1; BLW:6.0; SKL:37.9,Z65c050,,,,
15368,Melospiza,melodia,maxima,,U,U,01 Sep 2000,USA,Alaska,Aleutian Islands,"Andreanof Islands, Igitkin Island",Rocque,Deborah A,DAR032,Gibson,Daniel D,,Hard shot!,Skin/tiss2,1020,,,Z65c050,,,,
8850,Melospiza,melodia,maxima,,AHY,F,29 May 1998,USA,Alaska,Aleutian Islands,"Andreanof Islands, Kanaga Island",Gibson,Daniel D,UAMX734,Pruett,Christin L,46.5,"OV:12.7X4.7, ova to 2.4; FAT:Light; SK:100% ossified; MOLT:Rect #2 left in sheath; STOM:Seeds.",LATLONG 5145N 17722W.  Coll DDG1653. Incubation patch.,1230,,WCH:80.4; TL:75.9; TS:28.9; BL:12.1; BLH:7.6; BLW:6.8; SKL:40.0,Z65c050,,,,
